celebrityid,dbname
11863,"Slick Rick"
10699,"Natalie Grant"
2013,Shontelle
12844,"Leroy Sanchez"
10148,"Vanilla Ice"
1544,Dnce
12257,"Sage The Gemini"
4308,"Paul Anka"
1816,"Luke James"
1546,"Don Henley"
2556,Banks
4211,"Mark Mcgrath"
9598,Foxes
2791,Duffy
2516,"Aloe Blacc"
10700,"Steven Curtis Chapman"
10961,"Jermaine Jackson"
12789,6LACK
1437,"Bloc Party"
10672,"Barry Gibb"
2527,"Anita Baker"
10607,"Tom Ogden"
1881,"Markus Schulz"
10293,"Tony Iommi"
10448,"Richie Sambora"
1484,Chicago
1855,"Michael Ray"
12298,"Sheila E."
11311,"Sam Bailey"
9263,"Sarah Harding"
11610,"Howie Dorough"
11471,"Wretch 32"
11614,"Siva Kaneswaran"
1404,"Bad Religion"
1665,"Jake Quickenden"
2014,"Sick Individuals"
1890,"Neon Trees"
12415,"John Lydon"
11186,"Havana Brown"
1660,Inxs
12810,"Jaz Dhami"
12859,"Marie Osmond"
11076,"Annie Mac"
11946,"Verdine White"
11233,"L.A. Reid"
1683,"Jamie Jones"
11216,"Shirley Manson"
1460,"Carly Pearce"
11378,"James Shaffer"
11771,"Kat DeLuna"
2554,Astro
16892,"Shannon Leto"
11723,"Joey Yung"
3528,"Sky Ferreira"
12167,"Warren G"
11043,"Brian Travers"
10899,"William Valdes"
12098,Cam'ron
9932,"Won-G Bruny"
1522,"Dashboard Confessional"
3041,"Jon Cozart"
12721,"Dizzee Rascal"
10874,"Francesco Renga"
3377,"Pete Yorn"
1440,"Bobby Shmurda"
10028,Gallant
1749,Kem
2852,"Frank Ocean"
10564,"David Garrett"
300,Tamia
2016,"Simply Red"
10528,"Jonny Drubel"
11327,"Pablo Lopez"
12868,"Sebastian Bach"
12410,LP
12636,"Samu Haber"
12339,"Horacio Palencia"
12767,"Luke Combs"
1502,"Corinne Bailey Rae"
1400,Awolnation
11123,"Charles Aznavour"
2162,"Willie Nelson"
12639,"Tash Sultana"
12091,Morrissey
10895,"Joy Huerta"
1921,"Paul Simon"
1675,"James Morrison"
12613,"Paolo Nutini"
1763,Kodaline
11675,"Mark Forster"
12068,"CeCe Winans"
10137,Pras
2959,"James Mercer"
11556,"Deborah Cox"
11300,"Kirk Hammett"
12214,Cam
1605,Garbage
2790,"Dwight Yoakam"
11418,"Samantha Jade"
11671,"Tom Parker"
1941,"Pretty Lights"
11220,"A. J. McLean"
1524,"David Crosby"
11650,RaeLynn
12287,"Ryan Leslie"
2109,"Third Eye Blind"
3379,"Peter Frampton"
12299,"Elvis Costello"
11518,"Stefanie Hertel"
12413,"Rebecca Ferguson (Singer)"
1969,"Rob Thomas"
10625,"Carlos Santana"
1998,"Sarah Brightman"
12195,"Chris Lane"
2621,"Bryan Ferry"
11042,"PJ Harvey"
10954,"Troy Gentry"
370,"Isabella Castillo"
12551,"Biffy Clyro"
11322,"Clay Walker"
1644,"Hey Violet"
12800,"Emmylou Harris"
11981,"Mark Owen"
12507,"Danny Brown"
2955,"James Blake"
2147,Vicetone
11332,"Rick Astley"
12625,"Tony Yayo"
11086,"Buddy Guy"
11998,"Cristian Castro"
2124,"Tori Amos"
12411,"Kimberly Schlapman"
11460,"Alison Wonderland"
12385,"Norman Cook"
10297,"La Toya Jackson"
1663,"Iron & Wine"
11338,"Kenny Lattimore"
11864,"Flying Lotus"
11036,"Andreas Gabalier"
11905,"Van Morrison"
1382,"Angels And Airwaves"
9594,"Melanie Blatt"
1809,"Loretta Lynn"
4460,"The Tenderloins"
12722,"Pakho Chau"
